,authorDisplayName,authorProfileImageUrl,textDisplay,textOriginal,likeCount,publishedAt,dbscanned
64,타크코코아,https://yt3.ggpht.com/Mjv3wye6yMLinszt5MujSmmofc9LWVbm4cIBnXhfLqSabEnFgRh15sjfcbnCqX6TCO7NO5ML=s48-c-k-c0x00ffffff-no-rj,꽁기깅강공깅강강공깅기깅강뿌어아앙,꽁기깅강공깅강강공깅기깅강뿌어아앙,0,20211121,0
47,ㅁㅁ,https://yt3.ggpht.com/M-cmgPwNHWAGEYn5WbN8R_7Sw3__s61dBde2kkr1ueGkYS3yfp2XiUmB6RlWLUSj5Jy7qIkK=s48-c-k-c0x00ffffff-no-rj,꽁기깅강꽁기깅깅강꽁기깅강공깡깡,꽁기깅강꽁기깅깅강꽁기깅강공깡깡,0,20211129,0
74,상어,https://yt3.ggpht.com/ytc/AKedOLQM5ZH_YtvXF9GL6XjbHBzZoTP_Nil-d2KwlvxcFw=s48-c-k-c0x00ffffff-no-rj,꽁기깅깅깅꽁강강꽁기깅깅강,꽁기깅깅깅꽁강강꽁기깅깅강,0,20211119,0
15,UBM 스타]]UBM star,https://yt3.ggpht.com/henk1hFJDAbTbzE0v3Cgjjc1a8yQZb3WneomIQ8nb9zY_ouxdsj2NsQMVCBKKhiLTENShaV_eA=s48-c-k-c0x00ffffff-no-rj,공깅강공깅강공깅강공깅깅공깅깅공깅깅강강(뿌지지지직)(설사),공깅강공깅강공깅강공깅깅공깅깅공깅깅강강(뿌지지지직)(설사),0,20211110,0
16,겜늅이의로블세상,https://yt3.ggpht.com/ytc/AKedOLSBqdgRvt3lI4EW9z9C2Bb5cYvpoWFixUfJpwMZEw=s48-c-k-c0x00ffffff-no-rj,꽁깅강꽁깅강꽁깅강꽁기깅꽁강깅꽁깅깅꽁강강 뿌르르륵,꽁깅강꽁깅강꽁깅강꽁기깅꽁강깅꽁깅깅꽁강강 뿌르르륵,0,20211109,0
116,루브,https://yt3.ggpht.com/xY7Ay-6-lr7A3kGj_5Ofj9PUyYz-h2uWYTZxu0kOJQ2EgEPwClPnQ6G-0jtR6LiYc2IymR5t=s48-c-k-c0x00ffffff-no-rj,꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공,꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공강꽁기깅강꽁기깅깅강꽁기깅강공,0,20211109,0
84,소지로,https://yt3.ggpht.com/MbBPgQNzEZNCj43DiqjEQYkT-RBe9UbrN-1ntqkiQpU80cbpq_M9WTQcfOvfamX5ggn4ynT-Dg=s48-c-k-c0x00ffffff-no-rj,꽁기깅강꽁기깅깅강꽁기깅강공강뿌와앙,꽁기깅강꽁기깅깅강꽁기깅강공강뿌와앙,0,20211115,0
114,UBM 스타]]UBM star,https://yt3.ggpht.com/henk1hFJDAbTbzE0v3Cgjjc1a8yQZb3WneomIQ8nb9zY_ouxdsj2NsQMVCBKKhiLTENShaV_eA=s48-c-k-c0x00ffffff-no-rj,꽁기깅강꽁기깅깅강꽁기깅걍공 (슈우우우욱~~~) 뿌와아아아아앙,꽁기깅강꽁기깅깅강꽁기깅걍공 (슈우우우욱~~~) 뿌와아아아아앙,0,20211110,0
86,김은실,https://yt3.ggpht.com/ytc/AKedOLS07I86PkM_2m6iv_99zwyi0pD4RuIgjWVUjg=s48-c-k-c0x00ffffff-no-rj,꽁기깅강꽁기깅깅강꽁기깅깅강,꽁기깅강꽁기깅깅강꽁기깅깅강,0,20211115,0
38,나의 채널,https://yt3.ggpht.com/dRG7WLgUnjKjqrFVsn_CVfsOI-o4MVfmyHmPJ4TZZgre-33DcQ0pKn30Yhj5D4NLAbMYzfL3Dg=s48-c-k-c0x00ffffff-no-rj,꽁기깅강깅공강강꽁기깅강깅강,꽁기깅강깅공강강꽁기깅강깅강,0,20211203,0
